movie_title,director_name,actor_1_name,actor_2_name,actor_3_name,genres,keywords,id,poster_path,comb
The Chronicles of Narnia: The Voyage of the Dawn Treader,Michael Apted,Georgie Henley,Skandar Keynes,Ben Barnes,Adventure Family Fantasy,epic based on novel or book magic lion anthropomorphism dragon king turns into animal fantasy world snowing sea voyage quest high fantasy isekai father son relationship brother sister relationship based on young adult novel good versus evil,10140,/pP27zlm9yeKrCeDZLFLP2HKELot.jpg,michael apted georgie henley skandar keynes ben barnes adventure family fantasy epic based on novel or book magic lion anthropomorphism dragon king turns into animal fantasy world snowing sea voyage quest high fantasy isekai father son relationship brother sister relationship based on young adult novel good versus evil
Naruto Shippuden the Movie: The Lost Tower,Masahiko Murata,Junko Takeuchi,Kazuhiko Inoue,Toshiyuki Morikawa,Adventure Action Animation,ninja shounen anime adventure,50723,/6e2YvN1tQK4xQHlmy7GJTuXOt2u.jpg,masahiko murata junko takeuchi kazuhiko inoue toshiyuki morikawa adventure action animation ninja shounen anime adventure
Get Him to the Greek,Nicholas Stoller,Jonah Hill,Russell Brand,Rose Byrne,Adventure Comedy Music,"london, england concert musician los angeles, california aftercreditsstinger irreverent",32823,/6g0li87w8LIK77QRUtOkQkM6bD7.jpg,"nicholas stoller jonah hill russell brand rose byrne adventure comedy music london, england concert musician los angeles, california aftercreditsstinger irreverent"
She's Out of My League,Jim Field Smith,Jay Baruchel,Alice Eve,T.J. Miller,Romance Comedy,"airport ex-boyfriend ex-girlfriend sarcasm birthday party dating falling in love insecurity airport security rating group of friends opposites attract unlikely lovers low self esteem duringcreditsstinger eccentric family pittsburgh, pennsylvania air show party planner hot girl nice guy pittsburgh penguins gorgeous blonde ex-girlfriend comes back romantic meeting the parents",34016,/mpYHjyPX0DAxbsnWKmSK5jZ1s4T.jpg,"jim field smith jay baruchel alice eve t.j. miller romance comedy airport ex-boyfriend ex-girlfriend sarcasm birthday party dating falling in love insecurity airport security rating group of friends opposites attract unlikely lovers low self esteem duringcreditsstinger eccentric family pittsburgh, pennsylvania air show party planner hot girl nice guy pittsburgh penguins gorgeous blonde ex-girlfriend comes back romantic meeting the parents"
Splice,Vincenzo Natali,Adrien Brody,Sarah Polley,Delphine Chanéac,Horror Science Fiction,experiment genetics dna gene manipulation genetic engineering genetically modified organism,37707,/4oqaWnO3dKYAt3vZWAD4oLfOXOC.jpg,vincenzo natali adrien brody sarah polley delphine chanéac horror science fiction experiment genetics dna gene manipulation genetic engineering genetically modified organism
Diary of a Wimpy Kid,Thor Freudenthal,Zachary Gordon,Robert Capron,Steve Zahn,Comedy Family,cheese coming of age breaking the fourth wall young boy middle school based on children's book duringcreditsstinger live action and animation line drawing child protagonist casual,33217,/iLAGiPnSuODt9cn332bkFElrRig.jpg,thor freudenthal zachary gordon robert capron steve zahn comedy family cheese coming of age breaking the fourth wall young boy middle school based on children's book duringcreditsstinger live action and animation line drawing child protagonist casual
Legion,Scott Stewart,Paul Bettany,Dennis Quaid,Lucas Black,Horror Action Fantasy,angel diner religion apocalypse demon desert hopeful horrified,22894,/ykocDqwg5PRUopnBVb1x1DWnEJF.jpg,scott stewart paul bettany dennis quaid lucas black horror action fantasy angel diner religion apocalypse demon desert hopeful horrified
Cats & Dogs: The Revenge of Kitty Galore,Brad Peyton,James Marsden,Nick Nolte,Christina Applegate,Family Adventure Comedy Fantasy Action,torture aftercreditsstinger duringcreditsstinger,39691,/nTsZT66I4U3aS9ezLdOKacfvo8T.jpg,brad peyton james marsden nick nolte christina applegate family adventure comedy fantasy action torture aftercreditsstinger duringcreditsstinger
My Name Is Khan,Karan Johar,Shah Rukh Khan,Kajol,Arjan Aujla,Drama Romance,"autism mumbai (bombay), india based on true story prejudice religion disability asperger's syndrome asian american",26022,/5Y36lCiNyyV71mjq6LavgiggbhT.jpg,"karan johar shah rukh khan kajol arjan aujla drama romance autism mumbai (bombay), india based on true story prejudice religion disability asperger's syndrome asian american"
Death Race 2,Roel Reiné,Luke Goss,Lauren Cohan,Sean Bean,Action Thriller Science Fiction,virgin car race dystopia parachute bikini street race prequel chinese silencer rapist car fire triad death game,51620,/80mBFNVvak2bA9TJN1MD0yM7Lfi.jpg,roel reiné luke goss lauren cohan sean bean action thriller science fiction virgin car race dystopia parachute bikini street race prequel chinese silencer rapist car fire triad death game
Fate/stay night: Unlimited Blade Works,Yuji Yamaguchi,Ayako Kawasumi,Noriaki Sugiyama,Junichi Suwabe,Action Fantasy Animation Drama,holy grail magic supernatural battle alternate version based on video game anime based on visual novel japanese high school,46304,/it7MNgChJr70YGXwHm11BRT7igZ.jpg,yuji yamaguchi ayako kawasumi noriaki sugiyama junichi suwabe action fantasy animation drama holy grail magic supernatural battle alternate version based on video game anime based on visual novel japanese high school
Tucker and Dale vs. Evil,Eli Craig,Tyler Labine,Alan Tudyk,Katrina Bowden,Comedy Horror,countryside west virginia cabin chainsaw misunderstanding accidental death hillbilly violent death killer held captive old friends isolated house disturbed teenager captured woman country bumpkin teens,46838,/8shwLEDzajJGSfLgbpac8x8xn1U.jpg,eli craig tyler labine alan tudyk katrina bowden comedy horror countryside west virginia cabin chainsaw misunderstanding accidental death hillbilly violent death killer held captive old friends isolated house disturbed teenager captured woman country bumpkin teens
Dangerous Stripper,Hiroshi Kashiwakura,Minako Komukai,,,Documentary,striptease cabaret performer big tits,743885,/kKdoC2sdRDhNBXJxSkX76d0uRNn.jpg,hiroshi kashiwakura minako komukai   documentary striptease cabaret performer big tits
Saw 3D,Kevin Greutert,Tobin Bell,Costas Mandylor,Betsy Russell,Horror Crime,sadism torture self help guru tricycle prosthetic arm pig mask survival horror death match mind game frantic death game,41439,/qHCZ6LjtmqWDfXXN28TlIC9OppK.jpg,kevin greutert tobin bell costas mandylor betsy russell horror crime sadism torture self help guru tricycle prosthetic arm pig mask survival horror death match mind game frantic death game
13 Assassins,Takashi Miike,Koji Yakusho,Takayuki Yamada,Yūsuke Iseya,Adventure Drama Action,suicide mission japan assassin samurai immortality swordsman massacre battle samurai sword seppuku code of honor ronin kimono jidaigeki edo period warrior 19th century harakiri bakumatsu,58857,/yUsVsiVXUwClk4vSCx80vrdO6MV.jpg,takashi miike koji yakusho takayuki yamada yūsuke iseya adventure drama action suicide mission japan assassin samurai immortality swordsman massacre battle samurai sword seppuku code of honor ronin kimono jidaigeki edo period warrior 19th century harakiri bakumatsu
Nanny McPhee and the Big Bang,Susanna White,Emma Thompson,Asa Butterfield,Ralph Fiennes,Comedy Fantasy Family,nanny nostalgic aftercreditsstinger duringcreditsstinger woman director based on young adult novel,35019,/9cgHfgBXVZmVR63AhwJ82R1kAFS.jpg,susanna white emma thompson asa butterfield ralph fiennes comedy fantasy family nanny nostalgic aftercreditsstinger duringcreditsstinger woman director based on young adult novel
Chloe,Atom Egoyan,Amanda Seyfried,Julianne Moore,Liam Neeson,Drama Thriller Mystery,"toronto, canada remake playing piano suspicious wife",28211,/b1SQETW5XglZb8eGnmb648lVANw.jpg,"atom egoyan amanda seyfried julianne moore liam neeson drama thriller mystery toronto, canada remake playing piano suspicious wife"
The Switch,Josh Gordon,Jennifer Aniston,Jason Bateman,Patrick Wilson,Comedy Romance Drama,new york city pregnancy hypochondriac little boy single mother based on short story sperm donor artificial insemination precocious child neurotic wanting to have children drunkenness no memory secret best friends moving back home,41210,/oJdMT6RGtbvQ26Tk7EHGfG8xZ6.jpg,josh gordon jennifer aniston jason bateman patrick wilson comedy romance drama new york city pregnancy hypochondriac little boy single mother based on short story sperm donor artificial insemination precocious child neurotic wanting to have children drunkenness no memory secret best friends moving back home
Green Zone,Paul Greengrass,Matt Damon,Greg Kinnear,Brendan Gleeson,War Action Adventure Drama Thriller,conspiracy soldier iraq war weapon of mass destruction baghdad iraqi  near east,22972,/czFIaeukSxNEccysQeys1PCkuOG.jpg,paul greengrass matt damon greg kinnear brendan gleeson war action adventure drama thriller conspiracy soldier iraq war weapon of mass destruction baghdad iraqi  near east
Remember Me,Allen Coulter,Robert Pattinson,Emilie de Ravin,Pierce Brosnan,Drama Romance,new york city parent child relationship 9/11 grieving young adult college student,23169,/j7umuMiLCHvWT7wYhFKJOTFSokF.jpg,allen coulter robert pattinson emilie de ravin pierce brosnan drama romance new york city parent child relationship 9/11 grieving young adult college student
The Crazies,Breck Eisner,Timothy Olyphant,Radha Mitchell,Joe Anderson,Mystery Horror Action,biological weapon cover-up remake madness psychosis duringcreditsstinger virus,29427,/ggtG9DZELyTtM2Y0DRJDOJa5iP8.jpg,breck eisner timothy olyphant radha mitchell joe anderson mystery horror action biological weapon cover-up remake madness psychosis duringcreditsstinger virus
Life As We Know It,Greg Berlanti,Katherine Heigl,Josh Duhamel,Josh Lucas,Comedy Romance Drama,baby loss of loved one godmother romcom parenthood orphan godfather co-parenting legal guardian,38408,/zLzS2aOqKsS0QvEaY6SfBw4VBqh.jpg,greg berlanti katherine heigl josh duhamel josh lucas comedy romance drama baby loss of loved one godmother romcom parenthood orphan godfather co-parenting legal guardian
Robin Hood,Ridley Scott,Russell Crowe,Cate Blanchett,Max von Sydow,Action Adventure History,robin hood archer sherwood forest knight historical fiction bow and arrow middle ages (476-1453) medieval king of england 12th century whimsical appreciative vibrant,20662,/9NS5QGOfck24yL3bZqWeW06PgPC.jpg,ridley scott russell crowe cate blanchett max von sydow action adventure history robin hood archer sherwood forest knight historical fiction bow and arrow middle ages (476-1453) medieval king of england 12th century whimsical appreciative vibrant
Pokémon: Zoroark - Master of Illusions,Kunihiko Yuyama,Rica Matsumoto,Ikue Otani,Yuji Ueda,Family Animation Adventure Fantasy,reunion battle based on video game evil plot anime,50087,/tWgH64RZmm2rIHtO2DNnfN3DZa8.jpg,kunihiko yuyama rica matsumoto ikue otani yuji ueda family animation adventure fantasy reunion battle based on video game evil plot anime
The Bounty Hunter,Andy Tennant,Gerard Butler,Jennifer Aniston,Peter Greene,Action Comedy Romance,new york city journalist bounty hunter investigation mistaken identity atlantic city best friend news reporter fourth of july ex-husband ex-wife relationship loan shark investigative journalism divorced couple traffic court mother daughter relationship bounty former detective confidential source skipped bail drive one another crazy,27573,/fJPKar0jnAsS09l3xfP6LL8sUkX.jpg,andy tennant gerard butler jennifer aniston peter greene action comedy romance new york city journalist bounty hunter investigation mistaken identity atlantic city best friend news reporter fourth of july ex-husband ex-wife relationship loan shark investigative journalism divorced couple traffic court mother daughter relationship bounty former detective confidential source skipped bail drive one another crazy
